LON,LAT,X
-118.5634,34.2291,2.0
-118.5634,34.2639,1.0
-118.5632,34.2312,29.0
-118.5626,34.2899,1.0
-118.5624,34.0405,1.0
-118.5623,34.0406,3.0
-118.5623,34.2108,2.0
-118.5623,34.2226,1.0
-118.5623,34.2243,16.0
-118.5623,34.2266,1.0
-118.5623,34.2282,37.0
-118.5623,34.2302,86.0
-118.5623,34.2303,37.0
-118.5623,34.2304,12.0
-118.5623,34.232,4.0
-118.5623,34.2323,9.0
-118.5623,34.2341,4.0
-118.5623,34.2355,4.0
-118.5623,34.2373,5.0
-118.5623,34.2391,7.0
-118.5623,34.241,6.0
-118.5623,34.2427,1.0
-118.5623,34.2464,1.0
-118.5623,34.2474,1.0
-118.5623,34.25,1.0
-118.5622,34.1827,1.0
-118.5621,34.2748,3.0
-118.5621,34.2749,23.0
-118.5617,34.232,1.0
-118.5614,34.2805,1.0
-118.561,34.232,1.0
-118.5604,34.2355,14.0
-118.5603,34.041,1.0
-118.5603,34.2427,6.0
-118.5602,34.2355,26.0
-118.5602,34.2391,3.0
-118.5601,34.2246,1.0
-118.5601,34.2428,2.0
-118.5594,34.2427,5.0
-118.5594,34.2749,2.0
-118.5591,34.2486,1.0
-118.559,34.2246,1.0
-118.5588,34.2427,11.0
-118.5587,34.2383,1.0
-118.5586,34.2746,1.0
-118.5586,34.2923,1.0
-118.5584,34.2845,1.0
-118.5583,34.244,569.0
-118.5582,34.1866,1.0
-118.558,34.2282,3.0
-118.558,34.2299,3.0
-118.558,34.2355,9.0
-118.558,34.2374,55.0
-118.558,34.2375,2.0
-118.558,34.2391,10.0
-118.558,34.2408,2.0
-118.5579,34.2246,1.0
-118.5579,34.2314,1.0
-118.5579,34.2427,2.0
-118.5578,34.1728,2.0
-118.5577,34.2585,2.0
-118.5574,34.2355,14.0
-118.5574,34.2747,1.0
-118.5573,34.2355,16.0
-118.5568,34.2347,9.0
-118.5567,34.2355,4.0
-118.5566,34.2748,3.0
-118.5565,34.2741,2.0
-118.5564,34.2313,6.0
-118.5564,34.2736,2.0
-118.5562,34.2299,3.0
-118.5562,34.2427,1.0
-118.5561,34.2639,1.0
-118.556,34.0385,4.0
-118.556,34.2299,1.0
-118.5556,34.0385,4.0
-118.5555,34.2135,1.0
-118.5552,34.0423,1.0
-118.5551,34.2693,1.0
-118.555,34.2311,5.0
-118.5548,34.1683,1.0
-118.5546,34.0396,1.0
-118.5545,34.2563,1.0
-118.5545,34.258,1.0
-118.5543,34.275,8.0
-118.5542,34.2299,2.0
-118.5542,34.2355,9.0
-118.554,34.0419,1.0
-118.554,34.0422,5.0
-118.554,34.2588,1.0
-118.5539,34.2427,5.0
-118.5538,34.2751,7.0
-118.5536,34.2205,1.0
-118.5536,34.2228,1.0
-118.5536,34.2282,1.0
-118.5536,34.2299,4.0
-118.5536,34.231,1.0
-118.5536,34.234,2.0
-118.5536,34.2355,26.0
-118.5536,34.2427,6.0
-118.5536,34.2428,2.0
-118.5536,34.25,4.0
-118.5535,34.2051,1.0
-118.5535,34.2084,1.0
-118.5535,34.2228,2.0
-118.5535,34.2282,8.0
-118.5535,34.2299,31.0
-118.5535,34.231,8.0
-118.5535,34.2328,2.0
-118.5535,34.2335,3.0
-118.5535,34.2338,11.0
-118.5533,34.2839,1.0
-118.5531,34.2047,1.0
-118.5525,34.2272,1.0
-118.552,34.0444,3.0
-118.5516,34.2354,1.0
-118.5516,34.2869,1.0
-118.5515,34.2264,1.0
-118.5514,34.2282,6.0
-118.5514,34.2283,1.0
-118.5512,34.0561,7.0
-118.5512,34.2354,3.0
-118.5511,34.2956,1.0
-118.5507,34.221,1.0
-118.5504,34.2381,1.0
-118.5501,34.1652,1.0
-118.5499,34.2261,7.0
-118.5498,34.0416,1.0
-118.5497,34.201,1.0
-118.5495,34.0395,1.0
-118.5493,34.2646,2.0
-118.5492,34.2175,1.0
-118.5492,34.2264,1.0
-118.5492,34.2272,1.0
-118.5492,34.2282,13.0
-118.5492,34.2283,2.0
-118.5492,34.2303,1.0
-118.5492,34.233,3.0
-118.5492,34.2336,1.0
-118.5492,34.2355,1.0
-118.5492,34.2427,1.0
-118.5482,34.2355,1.0
-118.5475,34.212,1.0
-118.5472,34.1825,1.0
-118.5471,34.2264,6.0
-118.5471,34.2272,6.0
-118.5471,34.2469,1.0
-118.5471,34.2919,1.0
-118.547,34.2228,1.0
-118.547,34.2264,2.0
-118.547,34.2282,3.0
-118.547,34.2283,7.0
-118.5469,34.0462,1.0
-118.5457,34.2481,2.0
-118.5457,34.2482,1.0
-118.5451,34.0516,1.0
-118.5449,34.2264,1.0
-118.5449,34.27,1.0
-118.5448,34.2156,1.0
-118.5448,34.2206,1.0
-118.5448,34.2228,2.0
-118.5448,34.2283,2.0
-118.5448,34.2319,1.0
-118.5448,34.2323,1.0
-118.5448,34.2354,4.0
-118.5448,34.241,1.0
-118.5448,34.2428,1.0
-118.5448,34.2448,5.0
-118.5448,34.2449,1.0
-118.5442,34.2373,1.0
-118.544,34.2463,1.0
-118.5439,34.0387,1.0
-118.5438,34.2228,1.0
-118.5438,34.2282,17.0
-118.5438,34.2628,1.0
-118.5433,34.0481,2.0
-118.5432,34.2228,1.0
-118.5432,34.2256,1.0
-118.5427,34.2282,4.0
-118.5426,34.2228,1.0
-118.5425,34.2355,2.0
-118.5425,34.2382,3.0
-118.5417,34.0485,1.0
-118.5416,34.2282,5.0
-118.5415,34.2012,1.0
-118.541,34.2832,1.0
-118.5407,34.1707,5.0
-118.5406,34.1682,1.0
-118.5406,34.2319,5.0
-118.5405,34.2273,1.0
-118.5405,34.2282,3.0
-118.5405,34.2283,3.0
-118.5405,34.2382,2.0
-118.5405,34.2427,1.0
-118.5404,34.2148,1.0
-118.5404,34.2246,1.0
-118.5403,34.2948,1.0
-118.5401,34.2319,2.0
-118.5398,34.043,7.0
-118.5393,34.2301,4.0
-118.5392,34.2012,1.0
-118.539,34.0505,1.0
-118.5387,34.0485,1.0
-118.5386,34.2573,1.0
-118.5383,34.2282,5.0
-118.5383,34.2283,1.0
-118.5383,34.2573,4.0
-118.5381,34.2319,1.0
-118.5379,34.2215,2.0
-118.5378,34.2229,2.0
-118.5378,34.2573,1.0
-118.5375,34.042,1.0
-118.5375,34.234,20.0
-118.5374,34.2297,6.0
-118.5374,34.2308,2.0
-118.5372,34.2251,30.0
-118.5371,34.2538,1.0
-118.537,34.2573,1.0
-118.5367,34.2282,1.0
-118.5367,34.2295,1.0
-118.5364,34.0519,1.0
-118.5364,34.2761,1.0
-118.5363,34.2427,2.0
-118.5362,34.2442,3.0
-118.5361,34.2207,1.0
-118.5361,34.2208,11.0
-118.5361,34.2227,1.0
-118.5361,34.223,14.0
-118.5361,34.2246,24.0
-118.5361,34.2264,15.0
-118.5361,34.2265,3.0
-118.5361,34.2274,2.0
-118.5361,34.2283,4.0
-118.5361,34.2286,1.0
-118.5361,34.229,7.0
-118.5361,34.2294,1.0
-118.5361,34.2308,9.0
-118.5361,34.2319,14.0
-118.5361,34.2337,3.0
-118.5361,34.234,21.0
-118.5361,34.2354,28.0
-118.5361,34.2355,7.0
-118.5361,34.2373,17.0
-118.5361,34.2391,4.0
-118.5361,34.2409,26.0
-118.5361,34.241,3.0
-118.5361,34.2427,28.0
-118.5361,34.2428,5.0
-118.5361,34.2446,4.0
-118.5361,34.2449,12.0
-118.5361,34.2464,10.0
-118.5361,34.2482,2.0
-118.5361,34.2524,1.0
-118.5361,34.2533,15.0
-118.5361,34.256,2.0
-118.5361,34.2562,15.0
-118.5361,34.2573,24.0
-118.5361,34.2631,2.0
-118.5361,34.2645,1.0
-118.536,34.1775,1.0
-118.536,34.1791,1.0
-118.536,34.1866,1.0
-118.536,34.1939,1.0
-118.5357,34.0358,1.0
-118.5354,34.2224,1.0
-118.535,34.2355,7.0
-118.5348,34.2292,5.0
-118.5346,34.2373,1.0
-118.5346,34.2482,1.0
-118.5346,34.2609,28.0
-118.5345,34.2428,6.0
-118.5345,34.2707,1.0
-118.5344,34.2156,1.0
-118.5344,34.2355,2.0
-118.5344,34.2573,1.0
-118.5343,34.2446,1.0
-118.5342,34.2308,1.0
-118.5341,34.229,1.0
-118.5339,34.2265,3.0
-118.5339,34.2274,3.0
-118.5339,34.228,1.0
-118.5338,34.2355,6.0
-118.5338,34.2373,1.0
-118.5338,34.241,1.0
-118.5338,34.2428,6.0
-118.5338,34.2695,1.0
-118.5337,34.229,2.0
-118.5336,34.0506,1.0
-118.5336,34.2308,1.0
-118.5335,34.2011,1.0
-118.5335,34.2655,2.0
-118.5333,34.2255,2.0
-118.5333,34.2464,1.0
-118.5328,34.2246,1.0
-118.5325,34.0889,14.0
-118.5325,34.2555,1.0
-118.5325,34.2756,3.0
-118.5324,34.2319,1.0
-118.5323,34.2208,1.0
-118.5323,34.2287,3.0
-118.5323,34.2555,5.0
-118.5319,34.0468,14.0
-118.5317,34.1903,1.0
-118.5317,34.2246,1.0
-118.5317,34.2256,2.0
-118.5317,34.2265,2.0
-118.5317,34.2275,3.0
-118.5317,34.2573,2.0
-118.5308,34.1749,1.0
-118.5305,34.0462,2.0
-118.53,34.261,1.0
-118.5299,34.2482,2.0
-118.5296,34.2012,4.0
-118.5296,34.2265,5.0
-118.5293,34.0497,2.0
-118.5282,34.2528,1.0
-118.5281,34.0489,1.0
-118.528,34.2893,1.0
-118.5278,34.2532,2.0
-118.5277,34.0315,2.0
-118.5277,34.0448,2.0
-118.5274,34.2209,1.0
-118.5274,34.2355,3.0
-118.5274,34.2549,1.0
-118.5273,34.1975,1.0
-118.5273,34.2264,7.0
-118.5273,34.2287,21.0
-118.5273,34.2291,1.0
-118.5273,34.2337,4.0
-118.5273,34.2355,4.0
-118.5273,34.2536,2.0
-118.5273,34.259,3.0
-118.5273,34.2609,2.0
-118.5273,34.2627,1.0
-118.5272,34.2645,30.0
-118.5271,34.0471,1.0
-118.5271,34.0472,1.0
-118.5271,34.3007,1.0
-118.5269,34.048,2.0
-118.5269,34.2645,1.0
-118.5267,34.2645,1.0
-118.5265,34.0447,3.0
-118.5264,34.045,1.0
-118.5264,34.2591,1.0
-118.5264,34.2645,25.0
-118.526,34.2722,1.0
-118.5259,34.047,6.0
-118.5259,34.2355,3.0
-118.5258,34.0385,5.0
-118.5258,34.0474,11.0
-118.5258,34.2573,3.0
-118.5257,34.2791,1.0
-118.5256,34.0487,1.0
-118.5255,34.2355,2.0
-118.5254,34.0314,2.0
-118.5254,34.0364,1.0
-118.5253,34.2356,1.0
-118.5253,34.2647,3.0
-118.5252,34.2218,7.0
-118.5252,34.2287,1.0
-118.525,34.0457,1.0
-118.5246,34.2246,16.0
-118.5244,34.2573,1.0
-118.5243,34.0461,5.0
-118.5242,34.0461,1.0
-118.5242,34.0467,6.0
-118.524,34.0459,1.0
-118.524,34.2649,1.0
-118.5239,34.2794,1.0
-118.5236,34.0302,1.0
-118.5236,34.2187,1.0
-118.5235,34.0432,1.0
-118.5234,34.2613,7.0
-118.5234,34.2649,3.0
-118.5234,34.2661,27.0
-118.5234,34.2686,1.0
-118.5233,34.2468,3.0
-118.5233,34.2486,1.0
-118.5233,34.2576,8.0
-118.5233,34.2591,5.0
-118.5232,34.2378,1.0
-118.5232,34.2432,6.0
-118.5231,34.2286,1.0
-118.5231,34.231,1.0
-118.523,34.0428,6.0
-118.523,34.0451,3.0
-118.523,34.2147,2.0
-118.523,34.2219,3.0
-118.523,34.2246,16.0
-118.5227,34.2375,1.0
-118.5227,34.2904,5.0
-118.5221,34.2649,6.0
-118.522,34.1654,1.0
-118.522,34.2864,2.0
-118.5218,34.2504,2.0
-118.5218,34.2576,2.0
-118.5217,34.2576,1.0
-118.5216,34.245,1.0
-118.5216,34.2468,1.0
-118.5216,34.2486,2.0
-118.5216,34.2649,3.0
-118.5215,34.2697,1.0
-118.5212,34.2576,1.0
-118.5208,34.2871,1.0
-118.5205,34.0304,1.0
-118.5205,34.2431,3.0
-118.5201,34.0365,1.0
-118.5201,34.2286,1.0
-118.52,34.2358,1.0
-118.52,34.2431,1.0
-118.5199,34.2468,7.0
-118.5199,34.2486,2.0
-118.5198,34.2504,1.0
-118.5198,34.2558,1.0
-118.5198,34.2576,1.0
-118.5198,34.2649,2.0
-118.5197,34.2649,3.0
-118.5197,34.2661,1.0
-118.5197,34.2742,1.0
-118.5196,34.2794,2.0
-118.5194,34.0283,2.0
-118.519,34.0313,1.0
-118.5188,34.0278,3.0
-118.5186,34.2069,1.0
-118.5183,34.2504,3.0
-118.5182,34.2649,2.0
-118.5179,34.2576,1.0
-118.5176,34.2637,1.0
-118.5176,34.2649,8.0
-118.517,34.029,2.0
-118.5167,34.2421,1.0
-118.5166,34.1937,1.0
-118.5165,34.2794,1.0
-118.5165,34.2819,1.0
-118.5164,34.2495,1.0
-118.5161,34.2649,1.0
-118.5158,34.2611,21.0
-118.5154,34.2628,1.0
-118.5154,34.2649,4.0
-118.5154,34.2685,1.0
-118.5153,34.2776,1.0
-118.5151,34.027,2.0
-118.5151,34.2248,19.0
-118.5149,34.2684,73.0
-118.5145,34.1723,1.0
-118.5144,34.2757,250.0
-118.514,34.3062,1.0
-118.5137,34.2649,1.0
-118.5134,34.1544,1.0
-118.5134,34.2382,1.0
-118.5133,34.2539,1.0
-118.513,34.2012,1.0
-118.5129,34.2794,1.0
-118.5128,34.2485,1.0
-118.5128,34.254,18.0
-118.5126,34.0332,1.0
-118.5124,34.2794,1.0
-118.5123,34.2201,1.0
-118.5123,34.2744,1.0
-118.5122,34.2553,1.0
-118.5119,34.2942,3.0
