LON,LAT,F
-118.6277,34.1968,6.0
-118.6277,34.2001,4.0
-118.6275,34.2057,1.0
-118.6275,34.2064,1.0
-118.6274,34.1618,1.0
-118.6274,34.1883,112.0
-118.6273,34.1658,2.0
-118.6273,34.2331,25.0
-118.6272,34.1545,1.0
-118.6272,34.1946,2.0
-118.627,34.1504,1.0
-118.6269,34.1486,2.0
-118.6269,34.1591,3.0
-118.6269,34.1649,1.0
-118.6268,34.1649,2.0
-118.6268,34.1971,10.0
-118.6268,34.1972,3.0
-118.6266,34.1629,1.0
-118.6266,34.1639,2.0
-118.6265,34.165,2.0
-118.6265,34.1719,1.0
-118.6265,34.211,1.0
-118.6265,34.2134,1.0
-118.6265,34.2158,1.0
-118.6264,34.2153,1.0
-118.6262,34.16,4.0
-118.6262,34.1641,3.0
-118.6262,34.1651,5.0
-118.6262,34.201,2.0
-118.6262,34.2019,2.0
-118.6262,34.2034,9.0
-118.6262,34.2126,1.0
-118.6262,34.2184,3.0
-118.6261,34.1837,2.0
-118.6261,34.1946,1.0
-118.626,34.1565,1.0
-118.6259,34.1487,1.0
-118.6259,34.1937,6.0
-118.6258,34.1643,1.0
-118.6258,34.1865,23.0
-118.6258,34.2083,1.0
-118.6258,34.2168,1.0
-118.6257,34.1587,1.0
-118.6257,34.1663,1.0
-118.6257,34.2073,1.0
-118.6256,34.1579,1.0
-118.6256,34.1865,20.0
-118.6256,34.205,1.0
-118.6255,34.1683,7.0
-118.6255,34.1701,2.0
-118.6255,34.1792,1.0
-118.6255,34.1937,6.0
-118.6255,34.201,3.0
-118.6254,34.1664,2.0
-118.6254,34.1811,4.0
-118.6254,34.1845,2.0
-118.6254,34.2001,1.0
-118.6254,34.2162,1.0
-118.6253,34.2454,2.0
-118.6251,34.1615,2.0
-118.6251,34.1634,4.0
-118.6251,34.1738,2.0
-118.6251,34.2103,2.0
-118.6249,34.148,1.0
-118.6249,34.1502,1.0
-118.6249,34.1555,16.0
-118.6249,34.1946,4.0
-118.6249,34.2073,1.0
-118.6248,34.1489,3.0
-118.6247,34.1552,2.0
-118.6247,34.1979,2.0
-118.6246,34.1838,2.0
-118.6246,34.2155,1.0
-118.6246,34.2184,1.0
-118.6246,34.2267,3.0
-118.6245,34.1951,1.0
-118.6245,34.1957,1.0
-118.6245,34.1959,1.0
-118.6245,34.2034,1.0
-118.6245,34.2132,4.0
-118.6243,34.1647,10.0
-118.6243,34.1937,2.0
-118.6242,34.1565,1.0
-118.624,34.1524,2.0
-118.624,34.201,2.0
-118.624,34.205,7.0
-118.624,34.2119,1.0
-118.624,34.2194,1.0
-118.6239,34.1658,5.0
-118.6238,34.1557,3.0
-118.6238,34.1599,1.0
-118.6238,34.1669,1.0
-118.6238,34.172,1.0
-118.6238,34.1828,1.0
-118.6238,34.1865,8.0
-118.6238,34.2104,3.0
-118.6238,34.2458,1.0
-118.6235,34.1865,10.0
-118.6235,34.2194,4.0
-118.6234,34.1828,1.0
-118.6234,34.1846,2.0
-118.6234,34.1864,2.0
-118.6234,34.1865,14.0
-118.6234,34.1899,1.0
-118.6234,34.1907,2.0
-118.6234,34.1913,3.0
-118.6234,34.1937,22.0
-118.6234,34.1955,3.0
-118.6234,34.1992,4.0
-118.6234,34.201,13.0
-118.6234,34.2026,2.0
-118.6234,34.205,3.0
-118.6234,34.2083,6.0
-118.6234,34.214,9.0
-118.6234,34.217,1.0
-118.6233,34.1645,1.0
-118.6233,34.1648,1.0
-118.6233,34.165,12.0
-118.6233,34.1657,1.0
-118.6233,34.166,10.0
-118.6233,34.1671,1.0
-118.6233,34.1678,1.0
-118.6233,34.1679,1.0
-118.6233,34.1683,2.0
-118.6233,34.1701,2.0
-118.6233,34.1719,1.0
-118.6233,34.172,3.0
-118.6233,34.1747,1.0
-118.6233,34.1774,10.0
-118.6233,34.1792,4.0
-118.6233,34.181,2.0
-118.6233,34.1812,2.0
-118.6232,34.1515,1.0
-118.6232,34.2469,3.0
-118.623,34.149,1.0
-118.623,34.188,2.0
-118.623,34.211,1.0
-118.6228,34.1946,3.0
-118.6225,34.201,3.0
-118.6225,34.2245,1.0
-118.6224,34.1582,1.0
-118.6224,34.1585,1.0
-118.6224,34.1792,1.0
-118.6224,34.1881,1.0
-118.6224,34.2053,1.0
-118.6224,34.2155,2.0
-118.6223,34.2175,1.0
-118.6223,34.2483,3.0
-118.6222,34.2483,1.0
-118.6221,34.1572,1.0
-118.622,34.163,2.0
-118.622,34.1922,17.0
-118.6219,34.1728,2.0
-118.6218,34.1881,1.0
-118.6218,34.1915,1.0
-118.6218,34.201,2.0
-118.6218,34.2033,4.0
-118.6217,34.2426,2.0
-118.6216,34.1544,1.0
-118.6216,34.1952,1.0
-118.6216,34.1969,1.0
-118.6215,34.172,1.0
-118.6215,34.1758,2.0
-118.6215,34.1792,1.0
-118.6215,34.1937,2.0
-118.6215,34.2083,3.0
-118.6215,34.22,1.0
-118.6214,34.1874,1.0
-118.6214,34.2119,2.0
-118.6213,34.151,1.0
-118.6213,34.1648,1.0
-118.6213,34.1942,1.0
-118.6213,34.201,1.0
-118.6213,34.2194,1.0
-118.6212,34.1739,1.0
-118.6212,34.1846,4.0
-118.6212,34.1864,8.0
-118.6212,34.1937,4.0
-118.6212,34.201,2.0
-118.6211,34.1518,1.0
-118.6211,34.1538,1.0
-118.6211,34.1678,4.0
-118.6211,34.1692,3.0
-118.6211,34.1701,1.0
-118.6211,34.172,4.0
-118.6211,34.1739,1.0
-118.621,34.1489,1.0
-118.6209,34.1489,1.0
-118.6209,34.1526,2.0
-118.6208,34.196,3.0
-118.6208,34.2087,1.0
-118.6208,34.2088,1.0
-118.6208,34.2093,1.0
-118.6207,34.165,3.0
-118.6207,34.1669,3.0
-118.6207,34.2185,4.0
-118.6206,34.2143,22.0
-118.6206,34.243,1.0
-118.6205,34.148,2.0
-118.6205,34.1509,2.0
-118.6205,34.1571,2.0
-118.6205,34.165,9.0
-118.6205,34.211,1.0
-118.6204,34.2164,1.0
-118.6203,34.166,6.0
-118.6203,34.1937,1.0
-118.6203,34.2047,3.0
-118.6203,34.2198,3.0
-118.6201,34.1498,2.0
-118.62,34.1604,1.0
-118.62,34.1739,2.0
-118.6199,34.1484,1.0
-118.6199,34.1991,5.0
-118.6199,34.1992,1.0
-118.6197,34.172,3.0
-118.6197,34.1758,1.0
-118.6197,34.201,1.0
-118.6197,34.2066,3.0
-118.6196,34.1644,2.0
-118.6196,34.2032,1.0
-118.6196,34.2103,1.0
-118.6195,34.1865,2.0
-118.6195,34.2072,2.0
-118.6195,34.2103,1.0
-118.6195,34.2119,1.0
-118.6195,34.2137,1.0
-118.6193,34.1937,2.0
-118.6193,34.2155,4.0
-118.6193,34.223,2.0
-118.6192,34.1673,6.0
-118.6192,34.1937,1.0
-118.6192,34.2445,4.0
-118.6192,34.2567,3.0
-118.6191,34.1955,2.0
-118.6191,34.201,3.0
-118.6191,34.2083,1.0
-118.6191,34.2177,4.0
-118.6191,34.2185,7.0
-118.6191,34.2195,3.0
-118.6191,34.2724,2.0
-118.619,34.1683,5.0
-118.619,34.1692,3.0
-118.619,34.1701,5.0
-118.619,34.171,1.0
-118.619,34.172,4.0
-118.619,34.1739,1.0
-118.619,34.181,1.0
-118.619,34.1828,5.0
-118.619,34.1846,1.0
-118.619,34.1865,2.0
-118.619,34.1874,1.0
-118.619,34.1882,2.0
-118.619,34.1885,41.0
-118.619,34.189,1.0
-118.619,34.2083,1.0
-118.619,34.2092,1.0
-118.619,34.2164,4.0
-118.6189,34.1675,1.0
-118.6189,34.1758,1.0
-118.6189,34.1906,3.0
-118.6188,34.1674,13.0
-118.6186,34.1923,1.0
-118.6186,34.2103,1.0
-118.6186,34.2119,2.0
-118.6186,34.2137,1.0
-118.6186,34.2155,1.0
-118.6185,34.1915,1.0
-118.6185,34.1937,1.0
-118.6185,34.1954,1.0
-118.6184,34.15,3.0
-118.6184,34.1666,3.0
-118.6183,34.1483,1.0
-118.6182,34.1632,1.0
-118.6182,34.1991,1.0
-118.6181,34.1998,1.0
-118.6181,34.2197,1.0
-118.618,34.1658,1.0
-118.618,34.1897,1.0
-118.618,34.201,3.0
-118.618,34.2177,1.0
-118.6179,34.1766,1.0
-118.6179,34.1831,2.0
-118.6179,34.2047,1.0
-118.6179,34.206,1.0
-118.6179,34.2445,3.0
-118.6178,34.153,1.0
-118.6178,34.1774,4.0
-118.6178,34.2035,1.0
-118.6178,34.2168,1.0
-118.6176,34.1485,1.0
-118.6176,34.1811,1.0
-118.6176,34.1855,1.0
-118.6176,34.1905,1.0
-118.6176,34.2091,1.0
-118.6176,34.2119,2.0
-118.6176,34.2137,1.0
-118.6176,34.2155,1.0
-118.6176,34.2227,1.0
-118.6176,34.2257,4.0
-118.6176,34.2518,2.0
-118.6174,34.1499,1.0
-118.6174,34.1532,1.0
-118.6174,34.2403,1.0
-118.6174,34.2476,2.0
-118.6174,34.2544,3.0
-118.6173,34.1817,1.0
-118.6173,34.1865,3.0
-118.6173,34.1969,2.0
-118.6172,34.156,5.0
-118.6172,34.1856,1.0
-118.6172,34.1946,1.0
-118.6172,34.1961,1.0
-118.6172,34.1997,1.0
-118.6172,34.1998,1.0
-118.6172,34.201,2.0
-118.6172,34.2091,1.0
-118.6172,34.2567,1.0
-118.6171,34.168,3.0
-118.6171,34.2165,2.0
-118.6171,34.2172,2.0
-118.6171,34.2178,2.0
-118.6171,34.2186,1.0
-118.617,34.1905,1.0
-118.617,34.2195,2.0
-118.617,34.2227,4.0
-118.617,34.2434,1.0
-118.617,34.2543,2.0
-118.6169,34.167,3.0
-118.6169,34.2047,3.0
-118.6169,34.206,1.0
-118.6169,34.2073,2.0
